Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
25.429,2.05,25.4291,1.82,4.81,19.96,57.2
25.4324,1.39,25.4315,1.792,4.89,20.04,58.3
25.433,1.78,25.4341,1.792,4.89,20.04,58.3
25.437,1.93,25.4365,1.746,5.02,20.17,60.2
25.439,1.81,25.4389,1.812,4.83,19.98,57.5
25.441,1.82,25.4413,1.838,4.77,19.92,56.5
25.4444,1.72,25.4433,1.836,4.77,19.92,56.6
25.445,1.91,25.4453,1.86,4.71,19.86,55.6
25.447,1.92,25.4472,1.876,4.66,19.81,55
25.449,1.93,25.4488,1.914,4.56,19.71,53.4
25.4505,1.9,25.4504,1.906,4.58,19.73,53.8
25.4524,1.91,25.4518,1.926,4.53,19.68,53
25.453,1.87,25.4532,1.948,4.47,19.62,52.1
25.4542,2.02,25.4545,1.942,4.49,19.64,52.3
25.4559,2.04,25.4555,1.966,4.42,19.57,51.4
25.457,1.87,25.4568,1.988,4.37,19.52,50.5
25.4576,2.03,25.4582,2.002,4.33,19.48,49.9
25.4594,1.98,25.4592,1.998,4.34,19.49,50.1
25.461,2.09,25.4604,2.052,4.19,19.34,47.9
25.4611,2.02,25.4617,1.984,4.38,19.53,50.6
25.4628,2.14,25.4628,2.002,4.33,19.48,49.9
25.464,1.69,25.4644,1.976,4.4,19.55,51
25.465,2.07,25.4664,2.004,4.32,19.47,49.8
25.469,1.96,25.4684,1.956,4.45,19.6,51.8
25.471,2.16,25.4705,2.036,4.24,19.39,48.6
25.473,1.9,25.4729,2.02,4.28,19.43,49.2
25.4744,2.09,25.4751,2.008,4.31,19.46,49.7
25.477,1.99,25.4771,1.894,4.62,19.77,54.2
25.4799,1.9,25.4795,1.916,4.56,19.71,53.4
25.481,1.59,25.4816,1.916,4.56,19.71,53.4
25.485,2.01,25.484,1.874,4.67,19.82,55
25.4853,2.09,25.4867,1.826,4.8,19.95,57
25.489,1.78,25.4893,1.976,4.4,19.55,51
25.493,1.66,25.4917,1.91,4.57,19.72,53.6
25.4943,2.34,25.4944,1.892,4.62,19.77,54.3
25.497,1.68,25.4963,1.952,4.46,19.61,51.9
25.4985,2,25.4977,1.97,4.41,19.56,51.2
25.4985,2.08,25.4988,1.918,4.55,19.7,53.3
25.5,1.75,25.5,1.954,4.46,19.61,51.8
25.5002,2.08,25.501,1.94,4.49,19.64,52.4
25.503,1.86,25.5021,1.944,4.48,19.63,52.2
25.5033,1.93,25.5033,1.988,4.37,19.52,50.5
25.504,2.1,25.5045,1.996,4.34,19.49,50.2
25.506,1.97,25.5057,2,4.33,19.48,50
25.5063,2.12,25.5069,2.05,4.2,19.35,48
25.509,1.88,25.5086,2.052,4.19,19.34,47.9
25.5093,2.18,25.51,2.03,4.25,19.4,48.8
25.5123,2.11,25.5118,2,4.33,19.48,50
25.513,1.86,25.5132,2.046,4.21,19.36,48.2
25.5153,1.97,25.515,2.022,4.27,19.42,49.1
25.516,2.11,25.5163,2.014,4.3,19.45,49.4
25.5183,2.06,25.518,2.056,4.18,19.33,47.8
25.519,2.07,25.5193,2.096,4.08,19.23,46.2
25.5213,2.07,25.5211,2.124,4,19.15,45
25.522,2.17,25.5225,2.298,3.54,18.69,38.1
25.525,2.25,25.5239,2.36,3.37,18.52,35.6
25.5252,2.93,25.5251,2.334,3.44,18.59,36.6
25.526,2.38,25.5263,2.3,3.53,18.68,38
25.5274,1.94,25.5275,2.252,3.66,18.81,39.9
25.528,2,25.5289,2.082,4.11,19.26,46.7
25.531,2.01,25.5301,1.992,4.35,19.5,50.3
25.532,2.08,25.5313,2.008,4.31,19.46,49.7
25.5323,1.93,25.5325,1.98,4.39,19.54,50.8
25.5334,2.02,25.5336,1.976,4.4,19.55,51
25.534,1.86,25.5346,1.934,4.51,19.66,52.6
25.5364,1.99,25.536,1.942,4.49,19.64,52.3
25.537,1.87,25.5376,1.896,4.61,19.76,54.2
25.5394,1.97,25.5392,1.898,4.61,19.76,54.1
25.541,1.79,25.5407,1.894,4.62,19.77,54.2
25.5422,1.87,25.5423,1.868,4.69,19.84,55.3
25.544,1.97,25.5438,1.848,4.74,19.89,56.1
25.5449,1.74,25.5451,1.874,4.67,19.82,55
25.547,1.87,25.5462,2.088,4.1,19.25,46.5
25.5476,1.92,25.5474,2.1,4.07,19.22,46
25.5477,2.94,25.5485,2.124,4,19.15,45
25.55,2.03,25.5497,2.152,3.93,19.08,43.9
25.5503,1.86,25.5508,2.17,3.88,19.03,43.2
25.553,2.01,25.5525,1.99,4.36,19.51,50.4
25.5531,2.01,25.5537,1.998,4.34,19.49,50.1
25.556,2.04,25.5549,2.018,4.29,19.44,49.3
25.556,2.07,25.5562,2.034,4.24,19.39,48.6
25.5562,1.96,25.5576,2.018,4.29,19.44,49.3
25.5597,2.09,25.559,1.99,4.36,19.51,50.4
25.56,1.93,25.5604,1.996,4.34,19.49,50.2
25.563,1.9,25.5624,1.968,4.42,19.57,51.3
25.5633,2.1,25.5638,1.956,4.45,19.6,51.8
25.566,1.82,25.5656,1.96,4.44,19.59,51.6
25.5668,2.03,25.5671,1.964,4.43,19.58,51.4
25.569,1.95,25.5688,1.896,4.61,19.76,54.2
25.5704,1.92,25.5704,1.936,4.5,19.65,52.6
25.572,1.76,25.5721,1.902,4.59,19.74,53.9
25.5739,2.02,25.5737,1.912,4.57,19.72,53.5
25.575,1.86,25.5755,1.886,4.64,19.79,54.6
25.5774,2,25.5771,1.916,4.56,19.71,53.4
25.579,1.79,25.5787,1.87,4.68,19.83,55.2
25.5803,1.91,25.5803,1.844,4.75,19.9,56.2
25.582,1.79,25.5814,1.828,4.79,19.94,56.9
25.5827,1.73,25.5826,1.854,4.72,19.87,55.8
25.5831,1.92,25.5838,1.856,4.72,19.87,55.8
25.585,1.92,25.585,1.902,4.59,19.74,53.9
25.586,1.92,25.5863,1.922,4.54,19.69,53.1
25.588,2.02,25.5879,1.91,4.57,19.72,53.6
25.5893,1.83,25.5894,2.014,4.3,19.45,49.4
25.591,1.86,25.5908,2.028,4.26,19.41,48.9
25.5926,2.44,25.5922,2.018,4.29,19.44,49.3
25.5929,1.99,25.5936,2.024,4.27,19.42,49
25.595,1.97,25.595,1.998,4.34,19.49,50.1
25.5966,1.86,25.5965,1.876,4.66,19.81,55
25.598,1.73,25.5981,1.95,4.47,19.62,52
25.6001,1.83,25.5996,1.962,4.43,19.58,51.5
25.601,2.36,25.601,1.936,4.5,19.65,52.6
25.6022,2.03,25.6022,1.996,4.34,19.49,50.2
25.6035,1.73,25.6035,1.952,4.46,19.61,51.9
25.604,2.03,25.6047,1.868,4.69,19.84,55.3
25.6069,1.61,25.6057,1.882,4.65,19.8,54.7
25.607,1.94,25.607,1.896,4.61,19.76,54.2
25.6071,2.1,25.6083,1.84,4.76,19.91,56.4
25.61,1.8,25.6096,1.868,4.69,19.84,55.3
25.6103,1.75,25.611,1.914,4.56,19.71,53.4
25.6137,1.75,25.6126,2.012,4.3,19.45,49.5
25.614,2.17,25.614,2.082,4.11,19.26,46.7
25.615,2.59,25.6155,2.054,4.19,19.34,47.8
25.617,2.15,25.6168,2.118,4.02,19.17,45.3
25.6178,1.61,25.6185,2.02,4.28,19.43,49.2
25.62,2.07,25.6201,1.962,4.43,19.58,51.5
25.6226,1.68,25.6215,2.004,4.32,19.47,49.8
25.623,2.3,25.6231,2.146,3.94,19.09,44.2
25.624,2.36,25.6246,2.076,4.13,19.28,47
25.626,2.32,25.6261,2.158,3.91,19.06,43.7
25.6274,1.72,25.6279,2.02,4.28,19.43,49.2
25.63,2.09,25.6297,1.958,4.45,19.6,51.7
25.6322,1.61,25.6314,1.984,4.38,19.53,50.6
25.633,2.05,25.6331,2.096,4.08,19.23,46.2
25.6345,2.45,25.6345,2.024,4.27,19.42,49
25.636,2.28,25.6359,2.092,4.09,19.24,46.3
25.637,1.73,25.6376,2.054,4.19,19.34,47.8
25.639,1.95,25.6391,1.944,4.48,19.63,52.2
25.6415,1.86,25.6403,1.998,4.34,19.49,50.1
25.642,1.9,25.6419,2.004,4.32,19.47,49.8
25.6422,2.55,25.6433,1.976,4.4,19.55,51
25.645,1.76,25.6448,1.976,4.4,19.55,51
25.6457,1.81,25.6464,1.954,4.46,19.61,51.8
25.649,1.86,25.6481,1.944,4.48,19.63,52.2
25.6499,1.79,25.6501,2.064,4.16,19.31,47.4
25.651,2.5,25.6519,2.064,4.16,19.31,47.4
25.6548,2.36,25.6536,2.212,3.77,18.92,41.5
25.655,1.81,25.6553,2.19,3.83,18.98,42.4
25.6575,2.6,25.6571,2.104,4.06,19.21,45.8
25.6583,1.68,25.6588,2.054,4.19,19.34,47.8
25.66,2.07,25.6608,2.082,4.11,19.26,46.7
25.663,2.11,25.6623,2.096,4.08,19.23,46.2
25.665,1.95,25.664,2.072,4.14,19.29,47.1
25.6651,2.67,25.6656,1.934,4.51,19.66,52.6
25.6671,1.56,25.6672,1.876,4.66,19.81,55
25.6678,1.38,25.6685,1.818,4.82,19.97,57.3
25.671,1.82,25.67,1.778,4.93,20.08,58.9
25.6715,1.66,25.6713,1.854,4.72,19.87,55.8
25.6724,2.47,25.6729,1.93,4.52,19.67,52.8
25.6736,1.94,25.6739,1.952,4.46,19.61,51.9
25.676,1.76,25.6757,2.126,4,19.15,45
25.676,1.93,25.6773,1.96,4.44,19.59,51.6
25.6804,2.53,25.679,1.974,4.4,19.55,51
25.6804,1.64,25.6807,1.99,4.36,19.51,50.4
25.682,2.01,25.6829,1.986,4.37,19.52,50.6
25.6849,1.84,25.6847,1.868,4.69,19.84,55.3
25.687,1.91,25.6868,2.186,3.84,18.99,42.6
25.6893,1.94,25.6888,2.296,3.54,18.69,38.2
25.691,3.23,25.6904,2.332,3.45,18.6,36.7
25.6919,2.56,25.6918,2.326,3.46,18.61,37
25.693,2.02,25.693,2.46,3.11,18.26,31.6
25.6938,1.88,25.6944,2.222,3.74,18.89,41.1
25.6953,2.61,25.6957,2.066,4.16,19.31,47.4
25.698,2.04,25.6976,1.988,4.37,19.52,50.5
25.6982,1.78,25.6994,2.044,4.22,19.37,48.2
25.7027,1.63,25.7011,1.992,4.35,19.5,50.3
25.703,2.16,25.7029,1.922,4.54,19.69,53.1
25.7034,2.35,25.705,1.982,4.38,19.53,50.7
25.7071,1.69,25.7067,2.128,3.99,19.14,44.9
25.709,2.08,25.7084,2.03,4.25,19.4,48.8
25.711,2.36,25.7101,2.014,4.3,19.45,49.4
25.7116,1.67,25.7115,2.092,4.09,19.24,46.3
25.712,2.27,25.7129,2.038,4.23,19.38,48.5
25.714,2.08,25.7145,2.048,4.21,19.36,48.1
25.716,1.81,25.7162,2.128,3.99,19.14,44.9
25.719,2.41,25.7179,2.014,4.3,19.45,49.4
25.72,2.07,25.7201,1.932,4.51,19.66,52.7
25.7205,1.7,25.7219,1.974,4.4,19.55,51
25.725,1.67,25.7231,1.972,4.41,19.56,51.1
25.725,2.02,25.725,1.89,4.63,19.78,54.4
25.7252,2.4,25.7271,1.898,4.61,19.76,54.1
25.7294,1.66,25.7288,1.914,4.56,19.71,53.4
25.731,1.74,25.731,1.948,4.47,19.62,52.1
25.7332,1.75,25.7333,1.836,4.77,19.92,56.6
25.736,2.19,25.7349,2.112,4.03,19.18,45.5
25.7369,1.84,25.7368,2.112,4.03,19.18,45.5
25.7374,3.04,25.7384,2.13,3.99,19.14,44.8
25.7407,1.74,25.7395,2.178,3.86,19.01,42.9
25.741,1.84,25.741,2.132,3.98,19.13,44.7
25.7416,2.43,25.7429,1.912,4.57,19.72,53.5
25.7444,1.61,25.7444,1.888,4.63,19.78,54.5
25.747,1.94,25.7462,2.002,4.33,19.48,49.9
25.7482,1.62,25.7482,1.854,4.72,19.87,55.8
25.7496,2.41,25.7497,1.932,4.51,19.66,52.7
25.7519,1.69,25.7515,1.88,4.65,19.8,54.8
25.752,2,25.7533,2.052,4.19,19.34,47.9
25.7557,1.68,25.755,1.954,4.46,19.61,51.8
25.7573,2.48,25.7565,1.954,4.46,19.61,51.8
25.758,1.92,25.7587,1.948,4.47,19.62,52.1
25.7594,1.69,25.7602,1.954,4.46,19.61,51.8
25.763,1.97,25.7618,1.942,4.49,19.64,52.3
25.7631,1.71,25.7635,1.948,4.47,19.62,52.1
25.7657,2.42,25.7654,2.03,4.25,19.4,48.8
25.7664,1.95,25.7669,2.024,4.27,19.42,49
25.769,2.1,25.7685,2.08,4.12,19.27,46.8
25.7704,1.94,25.7698,2.076,4.13,19.28,47
25.771,1.99,25.7713,2.072,4.14,19.29,47.1
25.7722,2.4,25.7725,1.966,4.42,19.57,51.4
25.774,1.93,25.7742,1.888,4.63,19.78,54.5
25.7748,1.57,25.776,1.986,4.37,19.52,50.6
25.7791,1.55,25.7776,1.94,4.49,19.64,52.4
25.7799,2.48,25.7794,1.942,4.49,19.64,52.3
25.78,2.17,25.7812,2.28,3.59,18.74,38.8
25.7834,1.94,25.7824,2.372,3.34,18.49,35.1
25.7838,3.26,25.7838,2.252,3.66,18.81,39.9
25.785,2.01,25.7853,2.338,3.43,18.58,36.5
25.7867,1.88,25.7866,2.324,3.47,18.62,37
25.7875,2.6,25.7878,2.042,4.22,19.37,48.3
25.79,1.87,25.7892,2.096,4.08,19.23,46.2
25.79,1.85,25.7905,2.13,3.99,19.14,44.8
25.7917,2.28,25.792,2.068,4.15,19.3,47.3
25.7933,2.05,25.7932,2.114,4.03,19.18,45.4
25.7952,2.29,25.7946,2.172,3.87,19.02,43.1
25.796,2.1,25.7962,2.17,3.88,19.03,43.2
25.7966,2.14,25.7977,2.158,3.91,19.06,43.7
25.7999,2.27,25.7993,2.108,4.05,19.2,45.7
25.801,1.99,25.8007,2.086,4.1,19.25,46.6
25.8031,2.04,25.8028,2.07,4.15,19.3,47.2
25.8031,1.99,25.8042,2.028,4.26,19.41,48.9
25.8069,2.06,25.8062,2.076,4.13,19.28,47
25.807,2.06,25.808,2.082,4.11,19.26,46.7
25.8111,2.23,25.8105,2.178,3.86,19.01,42.9
25.812,2.07,25.8123,2.164,3.9,19.05,43.4
25.8153,2.47,25.8143,2.226,3.73,18.88,41
25.8159,1.99,25.8157,2.192,3.82,18.97,42.3
25.8173,2.37,25.8174,2.204,3.79,18.94,41.8
25.818,2.06,25.819,2.126,4,19.15,45
25.8206,2.13,25.8208,2.154,3.92,19.07,43.8
25.823,2.08,25.8226,2.074,4.14,19.29,47
25.8253,2.13,25.8248,2.1,4.07,19.22,46
25.826,1.97,25.8271,2.152,3.93,19.08,43.9
25.829,2.19,25.8294,2.18,3.85,19,42.8
25.832,2.39,25.8313,2.184,3.84,18.99,42.6
25.8347,2.22,25.8337,2.228,3.73,18.88,40.9
25.835,2.15,25.8357,2.31,3.51,18.66,37.6
25.838,2.19,25.8372,2.248,3.67,18.82,40.1
25.839,2.6,25.8383,2.254,3.66,18.81,39.8
25.8394,2.08,25.8398,2.25,3.67,18.82,40
25.84,2.25,25.841,2.248,3.67,18.82,40.1
25.8426,2.13,25.8423,2.206,3.78,18.93,41.8
25.844,2.18,25.8439,2.228,3.73,18.88,40.9
25.8457,2.39,25.8459,2.228,3.73,18.88,40.9
25.847,2.19,25.8477,2.206,3.78,18.93,41.8
25.85,2.25,25.8495,2.192,3.82,18.97,42.3
25.852,2.02,25.8514,2.128,3.99,19.14,44.9
25.853,2.11,25.8534,2.116,4.02,19.17,45.4
25.8552,2.07,25.855,2.178,3.86,19.01,42.9
25.857,2.13,25.8562,2.204,3.79,18.94,41.8
25.8576,2.56,25.8576,2.214,3.76,18.91,41.4
25.8583,2.15,25.8589,2.22,3.75,18.9,41.2
25.86,2.16,25.8601,2.232,3.71,18.86,40.7
25.8615,2.1,25.8615,2.166,3.89,19.04,43.4
25.863,2.19,25.863,2.158,3.91,19.06,43.7
25.8646,2.23,25.8646,2.174,3.87,19.02,43
25.866,2.11,25.8661,2.128,3.99,19.14,44.9
25.8678,2.24,25.8677,2.156,3.92,19.07,43.8
25.869,1.87,25.8691,2.12,4.01,19.16,45.2
25.8709,2.33,25.8708,2.096,4.08,19.23,46.2
25.872,2.05,25.8722,2.06,4.17,19.32,47.6
25.8741,1.99,25.8739,2.13,3.99,19.14,44.8
25.875,2.06,25.8753,2.048,4.21,19.36,48.1
25.8773,2.22,25.8765,2.132,3.98,19.13,44.7
25.878,1.92,25.8778,2.216,3.76,18.91,41.4
25.8783,2.47,25.879,2.228,3.73,18.88,40.9
25.8804,2.41,25.8803,2.194,3.82,18.97,42.2
25.881,2.12,25.8821,2.252,3.66,18.81,39.9
25.884,2.05,25.8838,2.092,4.09,19.24,46.3
25.8867,2.21,25.8852,1.95,4.47,19.62,52
25.887,1.67,25.887,1.928,4.53,19.68,52.9
25.8874,1.7,25.8882,1.958,4.45,19.6,51.7
25.8899,2.01,25.8889,1.904,4.59,19.74,53.8
25.89,2.2,25.8898,2.022,4.27,19.42,49.1
25.8901,1.94,25.891,2.056,4.18,19.33,47.8
25.8918,2.26,25.8916,2.06,4.17,19.32,47.6
25.893,1.87,25.8928,2,4.33,19.48,50
25.8931,2.03,25.8941,2,4.33,19.48,50
25.896,1.9,25.8955,2.044,4.22,19.37,48.2
25.8964,1.94,25.8967,2.028,4.26,19.41,48.9
25.8989,2.48,25.898,1.988,4.37,19.52,50.5
25.899,1.79,25.8992,2.03,4.25,19.4,48.8
25.8997,1.83,25.9005,2.022,4.27,19.42,49.1
25.902,2.11,25.9017,1.878,4.66,19.81,54.9
25.903,1.9,25.9032,1.956,4.45,19.6,51.8
25.905,1.76,25.9049,1.936,4.5,19.65,52.6
25.9063,2.18,25.9064,1.918,4.55,19.7,53.3
25.908,1.73,25.908,1.946,4.48,19.63,52.2
25.9096,2.02,25.9096,2.052,4.19,19.34,47.9
25.911,2.04,25.9111,1.982,4.38,19.53,50.7
25.9129,2.29,25.9127,2.056,4.18,19.33,47.8
25.914,1.83,25.914,2.08,4.12,19.27,46.8
25.916,2.1,25.9152,2.078,4.13,19.28,46.9
25.9162,2.14,25.9165,2.016,4.29,19.44,49.4
25.917,2.03,25.9177,2.124,4,19.15,45
25.9195,1.98,25.9187,2.15,3.93,19.08,44
25.9196,2.37,25.92,2.176,3.86,19.01,43
25.921,2.23,25.9214,2.152,3.93,19.08,43.9
25.9228,2.27,25.9227,2.198,3.81,18.96,42.1
25.924,1.91,25.9242,2.138,3.97,19.12,44.5
25.9261,2.21,25.9258,2.172,3.87,19.02,43.1
25.927,2.07,25.9273,2.066,4.16,19.31,47.4
25.9293,2.4,25.929,2.092,4.09,19.24,46.3
25.93,1.74,25.9304,2.03,4.25,19.4,48.8
25.9326,2.04,25.9322,2.064,4.16,19.31,47.4
25.933,1.9,25.9341,2.006,4.32,19.47,49.8
25.9359,2.24,25.9359,2.066,4.16,19.31,47.4
25.939,2.11,25.9375,2.158,3.91,19.06,43.7
25.9392,2.04,25.9393,2.174,3.87,19.02,43
25.9402,2.5,25.9407,2.126,4,19.15,45
25.942,1.98,25.9419,2.104,4.06,19.21,45.8
25.943,2,25.9435,2.152,3.93,19.08,43.9
25.945,2,25.945,2.068,4.15,19.3,47.3
25.9471,2.28,25.9468,2.074,4.14,19.29,47
25.948,2.08,25.9484,2.134,3.98,19.13,44.6
25.951,2.01,25.9498,2.148,3.94,19.09,44.1
25.951,2.3,25.9509,2.084,4.11,19.26,46.6
25.9517,2.07,25.9526,2.062,4.17,19.32,47.5
25.953,1.96,25.9538,2.058,4.18,19.33,47.7
25.9563,1.97,25.9558,2.056,4.18,19.33,47.8
25.957,1.99,25.9576,2.09,4.09,19.24,46.4
25.9609,2.29,25.9592,2.07,4.15,19.3,47.2
25.961,2.24,25.961,2.044,4.22,19.37,48.2
25.961,1.86,25.9627,2.038,4.23,19.38,48.5
25.965,1.84,25.9643,1.978,4.39,19.54,50.9
25.9656,1.96,25.9661,1.902,4.59,19.74,53.9
25.969,1.99,25.9684,2.034,4.24,19.39,48.6
25.9698,1.86,25.97,2.048,4.21,19.36,48.1
25.9725,2.52,25.9716,2.05,4.2,19.35,48
25.973,1.91,25.9732,1.992,4.35,19.5,50.3
25.9738,1.97,25.9748,1.992,4.35,19.5,50.3
25.977,1.7,25.9763,1.854,4.72,19.87,55.8
25.9777,1.86,25.978,1.972,4.41,19.56,51.1
25.98,1.83,25.9796,1.944,4.48,19.63,52.2
25.9815,2.5,25.981,1.968,4.42,19.57,51.3
25.9817,1.83,25.983,1.87,4.68,19.83,55.2
25.984,1.82,25.9849,2.098,4.07,19.22,46.1
25.988,1.37,25.9865,2.002,4.33,19.48,49.9
25.9893,2.97,25.9882,2.054,4.19,19.34,47.8
25.9896,2.02,25.9898,2.094,4.08,19.23,46.2
25.99,2.09,25.9909,2.19,3.83,18.98,42.4
25.992,2.02,25.992,1.998,4.34,19.49,50.1
25.9936,1.85,25.9936,1.966,4.42,19.57,51.4
25.995,2.01,25.9952,1.944,4.48,19.63,52.2
25.9976,1.86,25.997,1.9,4.6,19.75,54
25.998,1.98,25.9986,1.978,4.39,19.54,50.9
26.001,1.8,26.0004,1.942,4.49,19.64,52.3
26.0015,2.24,26.0018,2.076,4.13,19.28,47
26.004,1.83,26.0033,2.058,4.18,19.33,47.7
26.0043,2.53,26.0045,2.29,3.56,18.71,38.4
26.0055,1.89,26.0056,2.272,3.61,18.76,39.1
26.007,2.96,26.0066,2.28,3.59,18.74,38.8
26.007,2.15,26.0078,2.16,3.91,19.06,43.6
26.0094,1.87,26.0093,2.136,3.97,19.12,44.6
26.01,1.93,26.0105,1.996,4.34,19.49,50.2
26.013,1.77,26.0125,1.958,4.45,19.6,51.7
26.0132,2.26,26.014,1.96,4.44,19.59,51.6
26.0168,1.96,26.016,1.98,4.39,19.54,50.8
26.017,1.88,26.018,2.106,4.05,19.2,45.8
26.02,2.03,26.0199,2.048,4.21,19.36,48.1
26.0228,2.4,26.0214,2.056,4.18,19.33,47.8
26.023,1.97,26.0232,2.076,4.13,19.28,47
26.024,2,26.0246,2.12,4.01,19.16,45.2
26.026,1.98,26.0255,2.002,4.33,19.48,49.9
26.027,2.25,26.0267,2.014,4.3,19.45,49.4
26.0276,1.81,26.0282,1.916,4.56,19.71,53.4
26.029,2.03,26.0294,2.06,4.17,19.32,47.6
26.0312,1.51,26.0304,1.99,4.36,19.51,50.4
26.032,2.7,26.0318,1.952,4.46,19.61,51.9
26.032,1.9,26.033,1.902,4.59,19.74,53.9
26.0348,1.62,26.0344,1.996,4.34,19.49,50.2
26.035,1.78,26.0356,1.818,4.82,19.97,57.3
26.038,1.98,26.0374,1.796,4.88,20.03,58.2
26.0384,1.81,26.0389,1.818,4.82,19.97,57.3
26.041,1.79,26.0406,1.968,4.42,19.57,51.3
26.042,1.73,26.0418,1.924,4.54,19.69,53
26.0435,2.53,26.0431,1.93,4.52,19.67,52.8
26.044,1.76,26.0443,1.932,4.51,19.66,52.7
26.0451,1.84,26.0455,2.026,4.26,19.41,49
26.047,1.8,26.0468,1.872,4.67,19.82,55.1
26.0479,2.2,26.0481,1.886,4.64,19.79,54.6
26.05,1.76,26.0493,2.092,4.09,19.24,46.3
26.0506,1.83,26.0505,2.102,4.06,19.21,45.9
26.051,2.87,26.0516,1.964,4.43,19.58,51.4
26.053,1.85,26.0528,2.02,4.28,19.43,49.2
26.0534,1.51,26.0547,2.062,4.17,19.32,47.5
26.056,2.04,26.0568,1.834,4.78,19.93,56.6
26.06,2.04,26.0588,1.838,4.77,19.92,56.5
26.0617,1.73,26.061,2.07,4.15,19.3,47.2
26.063,1.87,26.0627,1.994,4.35,19.5,50.2
26.0642,2.67,26.0639,1.938,4.5,19.65,52.5
26.0645,1.66,26.065,1.908,4.58,19.73,53.7
26.066,1.76,26.0662,1.904,4.59,19.74,53.8
26.0672,1.58,26.0677,1.752,4.99,20.14,59.9
26.069,1.85,26.0694,1.732,5.07,20.22,60.7
26.072,1.91,26.0712,1.774,4.94,20.09,59
26.0728,1.56,26.0729,1.764,4.96,20.11,59.4
26.075,1.97,26.0747,1.78,4.92,20.07,58.8
26.0755,1.53,26.0759,1.712,5.15,20.3,61.5
26.078,1.93,26.0772,1.968,4.42,19.57,51.3
26.0783,1.57,26.0782,2.044,4.22,19.37,48.2
26.079,2.84,26.0793,2.146,3.94,19.09,44.2
26.0804,2.35,26.08,2.116,4.02,19.17,45.4
26.081,2.04,26.0811,2.19,3.83,18.98,42.4
26.0811,1.78,26.0823,2.152,3.93,19.08,43.9
26.084,1.94,26.0832,2.09,4.09,19.24,46.4
26.0848,2.65,26.0844,2.066,4.16,19.31,47.4
26.085,2.04,26.0859,2.074,4.14,19.29,47
26.087,1.92,26.0871,2.09,4.09,19.24,46.4
26.0889,1.82,26.0884,1.834,4.78,19.93,56.6
26.09,2.02,26.09,1.836,4.77,19.92,56.6
26.0911,1.37,26.0915,1.772,4.94,20.09,59.1
26.093,2.05,26.0929,1.766,4.96,20.11,59.4
26.0945,1.6,26.0942,1.966,4.42,19.57,51.4
26.096,1.79,26.0956,1.992,4.35,19.5,50.3
26.0965,3.02,26.0968,1.942,4.49,19.64,52.3
26.098,1.5,26.0982,1.928,4.53,19.68,52.9
26.099,1.8,26.0996,1.966,4.42,19.57,51.4
26.1014,1.53,26.1013,1.702,5.19,20.34,61.9
26.103,1.98,26.1028,1.944,4.48,19.63,52.2
26.1049,1.7,26.1042,1.994,4.35,19.5,50.2
26.1055,2.71,26.1055,2.01,4.31,19.46,49.6
26.106,2.05,26.1067,2.028,4.26,19.41,48.9
26.1083,1.61,26.1081,2.02,4.28,19.43,49.2
26.109,2.07,26.1094,1.848,4.74,19.89,56.1
26.1117,1.66,26.1112,1.86,4.71,19.86,55.6
26.112,1.85,26.1126,1.834,4.78,19.93,56.6
26.115,2.11,26.1144,1.774,4.94,20.09,59
26.1151,1.48,26.1157,1.8,4.87,20.02,58
26.118,1.77,26.1171,1.83,4.79,19.94,56.8
26.1186,1.79,26.1183,1.844,4.75,19.9,56.2
26.119,2,26.1197,1.788,4.9,20.05,58.5
26.121,2.18,26.1209,1.916,4.56,19.71,53.4
26.122,1.2,26.1223,1.794,4.88,20.03,58.2
26.124,2.41,26.1237,1.952,4.46,19.61,51.9
26.1254,1.18,26.1249,1.932,4.51,19.66,52.7
26.1261,2.79,26.1262,1.996,4.34,19.49,50.2
26.127,2.08,26.1274,1.958,4.45,19.6,51.7
26.1285,1.52,26.1287,2.23,3.72,18.87,40.8
26.13,2.22,26.1301,2.112,4.03,19.18,45.5
26.132,2.54,26.1315,2.234,3.71,18.86,40.6
26.133,2.2,26.133,2.336,3.44,18.59,36.6
26.1341,2.69,26.1348,2.388,3.3,18.45,34.5
26.136,2.03,26.1366,2.29,3.56,18.71,38.4
26.139,2.48,26.1384,2.258,3.65,18.8,39.7
26.1408,2.05,26.1403,2.012,4.3,19.45,49.5
26.142,2.04,26.1423,1.996,4.34,19.49,50.2
26.1438,1.46,26.1437,1.938,4.5,19.65,52.5
26.146,1.95,26.1449,2.076,4.13,19.28,47
26.146,2.19,26.1459,2.004,4.32,19.47,49.8
26.1468,2.74,26.1469,2.166,3.89,19.04,43.4
26.1469,1.68,26.1475,2.254,3.66,18.81,39.8
26.149,2.27,26.1483,2.188,3.83,18.98,42.5
26.149,2.39,26.1494,2.078,4.13,19.28,46.9
26.15,1.86,26.1504,2.184,3.84,18.99,42.6
26.152,2.19,26.1512,2.09,4.09,19.24,46.4
26.152,2.21,26.1524,2.036,4.24,19.39,48.6
26.1531,1.8,26.1534,2.094,4.08,19.23,46.2
26.155,2.12,26.1542,2.092,4.09,19.24,46.3
26.155,2.15,26.1551,2.034,4.24,19.39,48.6
26.156,2.18,26.1561,2.116,4.02,19.17,45.4
26.1563,1.92,26.1567,2.138,3.97,19.12,44.5
